id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
2370,Karim Benzema,20,1660,17,11.176991872489452,7,4.346645392477512,71,38,0,0,F,Real Madrid,15,9.690564595162868,16.376786205917597,4.819573895540088
897,Juanmi,17,1089,12,6.281522419303656,1,0.7811247147619724,29,12,3,0,F M S,Real Betis,12,6.281522419303656,6.673967003822327,1.1502854619175196
7008,Vinícius Júnior,20,1614,12,9.287608232349157,4,3.1063899118453264,51,33,4,0,F M S,Real Madrid,12,9.287608232349157,17.043989792466164,7.171694632619619
866,Joselu,20,1671,10,7.483040613122284,2,1.6937211193144321,48,19,0,0,F S,Alaves,5,3.76665245462209,4.6142102954909205,1.3333916896954179
2290,Iago Aspas,19,1512,10,8.116012539714575,2,3.2688066996634007,43,34,7,0,F S,Celta Vigo,8,5.143030025064945,9.41882908437401,2.7136806659400463
4229,Raúl de Tomás,19,1688,10,9.971979342401028,2,0.8908860217779875,69,14,3,1,F,Espanyol,6,6.998868741095066,7.8973338305950165,2.654840536415577
555,Memphis Depay,16,1377,8,9.03060613758862,2,3.852882083505392,43,35,2,0,F S,Barcelona,5,6.057495651766658,11.331704184412956,3.9678399488329887
2120,Gerard Moreno,11,862,8,7.229441791772842,2,3.4557327069342136,32,23,2,0,F S,Villarreal,7,5.743014428764582,8.645156525075436,2.2479568030685186
2098,Luis Suárez,19,1140,7,6.860145410522819,1,1.127608004026115,30,9,5,0,F S,Atletico Madrid,6,6.116867741569877,7.865501240827143,1.84108891710639
2155,Jorge Molina,18,1005,7,4.364931900054216,2,0.5392798292450607,24,11,1,0,F S,Granada,7,4.364931900054216,5.025685839354992,0.5483521539717913
2234,Mikel Oyarzabal,14,1095,7,7.209201127290726,1,1.7743029184639454,30,24,0,1,F M S,Real Sociedad,5,4.979368269443512,7.246118016541004,1.5697677209973335
2275,Ángel Correa,20,1185,7,3.560045139864087,4,3.076522031798959,31,20,2,0,F M S,Atletico Madrid,7,3.560045139864087,7.999700443819165,2.343075079843402
2478,Carlos Soler,15,1166,7,6.165536290034652,2,1.887211225926876,20,28,3,0,M S,Valencia,2,2.4491481240838766,4.995776070281863,2.837239248678088
5682,Gonçalo Guedes,20,1587,7,4.9996854066848755,4,4.016979576088488,45,27,2,0,F M S,Valencia,7,4.256407797336578,10.06863965652883,4.491963213309646
2186,Morales,19,1471,6,4.7114213686436415,1,1.3481060359627008,35,12,4,0,F M S,Levante,6,3.9681437592953444,6.5623422637581825,1.573527374304831
2361,Willian José,16,1049,6,4.36193174123764,4,1.8504508472979069,23,15,2,0,F S,Real Betis,4,2.875376507639885,5.577968075871468,1.855998259037733
2384,Santi Mina,19,1469,6,5.684093974530697,3,1.9816785845905542,39,17,4,0,F,Celta Vigo,6,5.684093974530697,8.076522499322891,1.919321171939373
2589,Rafa Mir,18,1179,6,4.932754918932915,0,0.21391173917800188,39,5,3,0,F S,Sevilla,6,4.932754918932915,5.798826465383172,1.3204755429178476
6219,Enes Ünal,20,1381,6,4.769783992320299,0,0.3956536762416363,45,12,4,0,F S,Getafe,6,4.026506368070841,3.973629429936409,1.222769453190267
696,Falcao,12,448,5,3.362710192799568,0,0.07546427752822638,19,2,1,0,F S,Rayo Vallecano,5,3.362710192799568,2.6454629814252257,0.1378453429788351
1109,Lucas Ocampos,16,1154,5,4.20846383087337,2,0.6598384734243155,28,11,4,0,F M S,Sevilla,5,4.20846383087337,6.186503911390901,2.528232278302312
1189,Lucas Boyé,15,1167,5,3.237153073772788,1,1.7598643247038126,33,15,2,0,F S,Elche,5,3.237153073772788,4.552438395097852,1.3677011169493198
2117,Marco Asensio,17,908,5,4.108275698497891,0,1.4895873796194792,31,14,0,0,F M S,Real Madrid,5,4.108275698497891,6.8873080387711525,2.7812187150120735
2399,Iñaki Williams,21,1659,5,6.28736911341548,2,5.280909858644009,48,20,1,0,F S,Athletic Club,5,6.28736911341548,13.877062875777483,3.1818098621442914
6637,Hugo Duro,17,1096,5,3.004527300596237,1,0.47618697956204414,22,10,0,1,F M S,"Getafe,Valencia",5,3.004527300596237,4.290993981063366,1.7952633742243052
7071,Álvaro García,19,1495,5,4.091565174981952,2,2.941023025661707,40,17,3,0,M S,Rayo Vallecano,5,4.091565174981952,9.081542439758778,2.33389045111835
8066,Arnaut Danjuma Groeneveld,12,800,5,5.610459968447685,2,0.6181427836418152,36,5,1,0,F M S,Villarreal,5,5.610459968447685,8.073356047272682,2.4712539203464985
644,Erik Lamela,12,588,4,1.85529775172472,1,1.559736905619502,14,14,4,0,F S,Sevilla,4,1.85529775172472,6.085573274642229,3.6786063127219677
2301,Manu Trigueros,19,1233,4,3.989271342754364,2,2.077588055282831,26,16,2,0,F M S,Villarreal,4,3.989271342754364,8.351010009646416,4.775716997683048
3667,Nabil Fekir,18,1516,4,3.46975683234632,4,4.195570018142462,50,42,7,0,M S,Real Betis,4,3.46975683234632,8.772850029170513,3.7414497770369053
4175,Pere Milla,15,482,4,2.49215598218143,1,0.12350474204868078,11,3,2,0,F M S,Elche,4,2.49215598218143,2.847429471090436,0.3326801210641861
5232,Alexander Isak,17,1189,4,4.8061169646680355,1,1.151381028816104,34,8,2,0,F M S,Real Sociedad,3,4.062839355319738,5.73770148307085,1.2274706028401852
6533,Anthony Lozano,16,978,4,3.2277378123253584,1,0.5862303115427494,30,7,4,0,F M S,Cadiz,4,3.2277378123253584,3.0699699856340885,0.38787394762039185
7224,Boulaye Dia,15,881,4,4.629581850022078,4,2.154567211866379,29,12,2,0,F S,Villarreal,4,4.629581850022078,8.399257645010948,1.9586673192679882
7779,Oihan Sancet,17,838,4,3.1137986443936825,3,2.2086683213710785,21,17,0,0,F S,Athletic Club,4,3.1137986443936825,7.512308284640312,2.7729008104652166
7863,Antonio Puertas,16,1064,4,1.9643546380102634,1,0.3948489762842655,17,8,2,0,F M S,Granada,4,1.9643546380102634,2.5939644519239664,1.6983889769762754
8978,Luis Suárez,20,1642,4,4.845823992043734,3,2.9518147902563214,46,19,4,0,F M S,Granada,4,4.102546352893114,7.229129988700151,1.956294447183609
608,Alberto Moreno,18,800,3,2.24802571721375,1,1.9309337846934795,17,12,2,0,D M S,Villarreal,3,2.24802571721375,4.9042428359389305,1.397121887654066
